TIMESTAMP,ContextTokens,GeneratedTokens
1700158623979,4808,10
1700158624031,3180,8
1700158624078,110,27
1700158624120,7433,14
1700158624424,34,12
1700158624519,374,14
1700158624678,6985,9
1700158624996,34,23
1700158625279,1145,7
1700158625279,201,24
1700158625378,137,9
1700158625379,7427,8
1700158653459,1555,19
1700158653560,3893,19
1700158653590,1827,10
1700158653659,394,17
1700158653697,675,6
1700158654157,7436,9
1700158654205,158,26
1700158654462,6587,18
1700158654483,763,8
1700158654963,1556,18
1700158655265,5108,12
1700158655434,159,127
1700158655434,458,67
1700158655619,2464,30
1700158655787,4009,51
1700158656607,1632,9
1700158656687,2567,45
1700158657059,730,36
1700158657320,5108,10
1700158657514,2569,7
1700158657559,1832,7
1700158657566,1630,9
1700158657659,6587,13
1700158657661,7436,6
1700158657760,1044,16
1700158657860,327,124
1700158657962,1630,9
1700158658264,3351,9
1700158658425,1562,18
1700158658858,3724,9
1700158658959,328,43
1700158659014,965,8
1700158659327,6586,11
1700158659334,2366,7
1700158659779,328,40
1700158659960,1513,29
1700158660260,328,9
1700158660629,2025,9
1700158660683,2169,13
1700158660759,74,14
1700158661359,771,142
1700158661403,76,18
1700158661878,75,16
1700158662059,527,27
1700158662191,2024,97
1700158662660,197,7
1700158662671,109,12
1700158662867,432,10
1700158663060,2025,19
1700158663265,6586,9
1700158663307,7435,9
1700158807041,2648,15
1700158807137,2564,9
1700158807138,3245,15
1700158807240,2144,9
1700158807438,2128,13
1700158807439,7436,8
1700158807542,250,6
1700158807636,1177,23
1700158807636,2743,38
1700158811139,144,18
1700158811238,88,19
1700158811238,6819,82
1700158811341,1179,13
1700158811538,3154,9
1700158811539,7435,13
1700158811545,2656,11
1700158811641,236,226
1700158812235,90,25
1700158812236,3631,15
1700158812239,1901,20
1700158812242,318,9
1700158812334,4556,16
1700158812342,5925,52
1700158812344,43,33
1700158812346,134,18
1700158812434,163,13
1700158812437,3286,15
1700158812438,522,14
1700158812541,583,6
1700158815078,318,7
1700158815339,147,17
1700158815339,5025,17
1700158815538,4557,9
1700158815638,1468,6
1700158815638,164,18
1700158815639,584,24
1700158816142,523,9
1700158816334,61,9
1700158816335,1724,11
1700158816343,1891,16
1700158816343,2507,6
1700158816437,2147,22
1700158816437,3066,6
1700158816440,118,9
1700158816440,2657,11
1700158816441,4556,25
1700158816540,5926,121
1700158816543,7435,6
1700158816635,149,20
1700158819242,3658,6
1700158819341,3397,7
1700158819342,5927,21
1700158819343,1894,7
1700158819434,2647,6
1700158819442,169,25
1700158819539,138,29
1700158819636,5928,6
1700158819639,154,7
1700158819640,1107,13
1700158819739,1894,19
1700158819938,2647,12
1700158819940,1182,18
1700158819942,1650,11
1700158820034,5538,697
1700158820035,526,7
1700158820236,152,15
1700158820239,4566,20
1700158820337,7419,6
1700158820341,46,25
1700158820342,2862,13
1700158820434,1724,32
1700158820537,1724,16
