TIMESTAMP,ContextTokens,GeneratedTokens
1700158546680,374,44
1700158550995,396,109
1700158551222,879,55
1700158551391,91,16
1700158552573,91,16
1700158552992,381,84
1700158554426,1313,142
1700158554932,388,84
1700158555017,242,14
1700158555145,209,152
1700158555380,394,124
1700158556108,394,59
1700158556263,1315,174
1700158556786,2221,15
1700158557226,389,90
1700158557838,415,106
1700158558111,120,12
1700158558517,369,74
1700158559567,206,162
1700158559705,1353,142
1700158559730,197,152
1700158560740,181,154
1700158560778,388,54
1700158560973,4085,62
1700158564101,2584,170
1700158564473,203,147
1700158564841,126,194
1700158565144,389,87
1700158565660,2548,116
1700158566594,91,16
1700158566625,4081,74
1700158567159,181,123
1700158567338,191,217
1700158567622,27,183
1700158568050,203,217
1700158568055,398,81
1700158569393,126,172
1700158569675,209,181
1700158570051,209,181
1700158570826,28,175
1700158571448,437,88
1700158571575,181,104
1700158571762,203,138
1700158571903,200,177
1700158571930,4073,58
1700158572004,91,16
1700158572597,1087,401
1700158572935,382,64
1700158573087,412,102
1700158573141,194,217
1700158574010,203,217
1700158574233,200,217
1700158574770,64,174
1700158575033,458,123
1700158575259,1352,158
1700158575288,874,404
1700158575444,378,58
1700158576020,91,16
1700158576366,4074,50
1700158576862,389,89
1700158577949,212,183
1700158578301,1085,394
1700158578440,407,131
1700158578597,396,82
1700158579069,1029,399
1700158579916,962,399
1700158580094,203,217
1700158580171,898,94
1700158580207,181,253
1700158580326,320,18
1700158580429,1119,414
1700158580505,124,157
1700158580613,1313,179
1700158581427,1096,383
1700158581974,400,102
1700158582819,1057,424
1700158583201,203,162
1700158583545,1314,216
1700158583805,2,93
1700158584156,1065,409
1700158584835,372,60
1700158585073,4094,82
1700158585229,1104,394
1700158585493,1075,415
1700158585772,4088,37
1700158585901,1225,372
1700158586004,1118,426
1700158586318,380,102
1700158586325,1133,385
1700158586722,42,167
1700158587031,2590,50
1700158587159,1140,377
1700158587806,126,203
1700158588037,431,84
1700158589014,1115,421
1700158589210,206,179
1700158589211,400,91
1700158589225,1123,396
1700158589244,862,379
1700158589365,859,422
1700158589371,890,402
1700158589395,1192,419
1700158589489,899,403
1700158589680,163,224
1700158589874,181,212
1700158590269,416,88
1700158590290,1163,426
1700158590471,243,14
1700158590574,1041,428
1700158590603,1350,146
1700158590721,1104,396
1700158590741,1127,426
1700158591508,1114,414
1700158591690,1083,396
1700158591706,1313,173
1700158591785,888,395
1700158591800,13,130
1700158591855,874,89
1700158591927,1065,395
1700158592183,1157,426
1700158592210,1077,390
1700158592661,2903,59
1700158592782,4079,27
1700158592871,1149,411
1700158592910,996,389
1700158593087,990,394
1700158593307,197,183
1700158593358,4107,49
1700158593890,197,217
1700158594140,1378,407
1700158594414,1214,421
1700158594605,1016,375
1700158594713,1186,398
1700158594726,4076,60
1700158594815,1100,426
1700158594976,218,217
1700158595390,1232,419
1700158595676,975,416
1700158595907,209,217
1700158596241,181,85
1700158596268,1029,388
1700158596341,888,418
1700158596405,1113,375
1700158596423,1035,520
1700158596423,1009,425
1700158596513,869,450
1700158596559,1183,431
1700158596909,972,395
1700158597166,1097,396
1700158597311,206,183
1700158597335,181,208
1700158597338,1316,200
1700158597422,908,456
1700158597574,1094,422
1700158597588,996,422
1700158597675,420,89
1700158597801,1112,385
1700158598045,1133,396
1700158598159,890,403
1700158598302,833,36
1700158598358,1093,426
1700158598620,206,211
1700158598800,898,454
1700158598908,1312,180
1700158598929,1129,396
1700158598938,375,67
1700158599563,862,425
1700158599823,167,179
1700158599852,914,414
1700158600243,209,217
1700158600387,982,594
1700158600673,200,161
1700158600703,1313,156
1700158600798,999,416
1700158601763,1084,397
1700158601790,399,106
1700158602020,1065,594
1700158603268,1036,446
1700158603646,1243,398
1700158603898,1128,384
1700158603960,1000,375
1700158604095,992,56
1700158604133,920,87
1700158604173,1040,388
1700158604184,411,101
1700158604191,900,91
1700158604258,1018,425
1700158604461,4082,44
1700158604946,395,99
1700158605145,209,217
1700158606674,181,113
1700158606852,1118,414
1700158606864,972,392
1700158607106,1847,53
1700158607328,392,96
1700158607459,197,217
1700158607512,975,409
1700158607553,1025,443
1700158607825,1027,388
1700158607944,1143,409
1700158607966,1028,394
1700158607974,874,402
1700158608445,997,492
1700158608517,72,245
1700158608518,851,397
1700158608587,408,91
1700158608609,1113,531
1700158608855,1313,170
1700158608957,1083,426
1700158609162,1139,394
1700158609523,978,437
1700158609723,26,146
1700158609793,386,61
1700158610278,1074,411
1700158610775,209,162
1700158610867,1099,455
1700158611568,120,12
1700158611591,126,173
1700158611616,416,140
1700158611621,4074,40
1700158611670,394,83
1700158611744,1043,399
1700158611744,1099,396
1700158611746,857,91
1700158612028,209,217
1700158612212,1109,365
1700158612395,993,441
1700158612466,888,418
1700158612990,2294,72
1700158613084,1141,388
1700158613192,1067,394
1700158613304,1116,423
1700158613336,416,79
1700158613374,1126,520
1700158613392,203,179
1700158613926,379,144
1700158614120,56,164
1700158614610,1232,410
1700158614613,209,162
1700158614646,206,162
1700158615362,1083,378
1700158615698,171,183
1700158616776,982,429
1700158616968,2208,87
1700158617138,374,54
1700158617594,1019,413
1700158617658,126,205
1700158618233,1147,396
1700158618607,1078,428
1700158618939,883,413
1700158619143,169,217
1700158619366,1094,429
1700158619452,1001,427
1700158619749,391,93
1700158619820,4081,38
1700158619869,1085,388
1700158619965,1064,395
1700158620182,1070,411
1700158620522,972,575
1700158620687,1099,394
1700158620727,980,384
1700158621985,1057,393
1700158622307,1082,409
1700158622407,1072,400
1700158622514,385,98
1700158622543,78,141
1700158622780,412,100
1700158622966,1027,388
1700158623238,1146,466
1700158623429,994,419
1700158623991,846,108
1700158624227,1140,430
1700158624934,1059,649
1700158624994,1354,200
1700158625365,167,171
1700158625388,1792,50
1700158625422,40,134
1700158625926,407,104
1700158625996,1065,411
1700158626003,181,241
1700158626111,1314,137
1700158626147,181,128
1700158626467,163,205
1700158626469,2,93
1700158626497,1314,203
1700158626676,1056,394
1700158626863,978,442
1700158627077,1217,565
1700158627101,1056,398
1700158627575,951,445
1700158627825,1233,401
1700158628309,1317,169
1700158628746,1103,520
1700158628790,887,375
1700158629094,1123,396
1700158629178,1095,379
1700158629599,1079,419
1700158630416,1073,420
1700158630478,1147,413
1700158630709,212,183
1700158631252,411,81
1700158631268,380,76
1700158631277,2522,62
1700158631357,990,468
1700158631574,1106,414
1700158631644,1117,396
1700158631757,1147,396
1700158632150,127,178
1700158632413,1021,428
1700158632477,1081,394
1700158632939,1104,394
1700158633206,1149,429
1700158633401,399,86
1700158633633,1127,385
1700158633787,766,85
1700158633839,1073,396
1700158634025,91,16
1700158634049,922,402
1700158634095,1314,220
1700158634120,1049,396
1700158634159,1048,399
1700158634653,1180,404
1700158634792,194,217
1700158635032,1063,396
1700158635062,206,217
1700158635406,1083,386
1700158635660,1016,436
1700158635947,958,427
1700158636076,91,16
1700158636127,335,18
1700158636379,895,114
1700158636626,1004,532
1700158636923,194,223
1700158637603,1001,427
1700158637695,954,390
1700158637989,4083,44
1700158638067,203,217
1700158638111,980,385
1700158638555,91,24
1700158638656,428,102
1700158638944,878,110
1700158638970,4088,41
1700158639165,212,164
1700158639744,982,411
1700158640733,445,174
1700158640743,394,86
1700158640781,1023,421
1700158641008,1314,152
1700158641192,1009,420
1700158641333,1007,375
1700158641626,1161,373
1700158641672,4085,52
